User_Id,Place_Id,Place_Ratings
1,1,4.5
1,2,4.5
1,3,4.83
1,4,5
1,5,4.5
1,6,5
1,7,4
1,8,5
1,9,5
1,10,5
1,11,5
1,12,5
1,13,4.67
1,14,5
1,15,5
1,16,5
1,17,4.94
1,18,5
1,19,5
1,20,5
1,21,5
1,22,5
1,23,5
1,24,5
1,25,5
1,26,5
2,1,4.67
2,2,4.17
2,3,5
2,4,4.33
2,5,3.83
2,6,4.33
2,7,4.83
2,8,4.33
2,9,4.67
2,10,4.33
2,11,4.67
2,12,5
2,13,4
2,14,4.17
2,15,4.5
2,16,4.17
2,17,4.42
2,18,4.17
2,19,4.67
2,20,4.33
2,21,4
2,22,4.67
2,23,4.33
2,24,4.33
2,25,4.17
2,26,4.83333
3,1,4.67
3,2,4.5
3,3,4.83
3,4,5
3,5,3.83
3,6,4.83
3,7,3.33
3,8,5
3,9,3.33
3,10,4.83
3,11,5
3,12,5
3,13,4
3,14,3.33
3,15,4
3,16,4.17
3,17,4.25
3,18,3.5
3,19,2.83
3,20,3.17
3,21,4.67
3,22,4.33
3,23,4
3,24,4.17
3,25,4.17
3,26,4.83333
4,1,4
4,2,3.67
4,3,4
4,4,4.5
4,5,3.5
4,6,4.33
4,7,3.5
4,8,4
4,9,3.67
4,10,4
4,11,3.83
4,12,4
4,13,3.5
4,14,3.33
4,15,3.17
4,16,3.5
4,17,3.56
4,18,3.17
4,19,3
4,20,3.17
4,21,3.5
4,22,3.67
4,23,3.17
4,24,3.17
4,25,3
4,26,3.83333
5,1,5
5,2,5
5,3,5
5,4,5
5,5,5
5,6,5
5,7,5
5,8,5
5,9,5
5,10,5
5,11,5
5,12,5
5,13,5
5,14,5
5,15,5
5,16,5
5,17,5
5,18,5
5,19,5
5,20,5
5,21,5
5,22,5
5,23,5
5,24,5
5,25,5
5,26,5
6,1,5
6,2,4.67
6,3,5
6,4,5
6,5,4.5
6,6,5
6,7,4.67
6,8,4.83
6,9,5
6,10,5
6,11,4.83
6,12,5
6,13,4.67
6,14,4.83
6,15,4.67
6,16,4.83
6,17,4.81
6,18,5
6,19,4.83
6,20,4.83
6,21,4.83
6,22,5
6,23,5
6,24,5
6,25,5
6,26,4.66667
7,1,4
7,2,3.67
7,3,3.67
7,4,4
7,5,4
7,6,3.83
7,7,3.83
7,8,3.83
7,9,4
7,10,3.67
7,11,3.83
7,12,3.5
7,13,3.67
7,14,3.5
7,15,3.33
7,16,3.5
7,17,3.56
7,18,3.17
7,19,3.17
7,20,3.67
7,21,3.17
7,22,3.33
7,23,3.17
7,24,3
7,25,3.33
7,26,3.83333
8,1,4
8,2,4
8,3,4
8,4,5
8,5,3.17
8,6,5
8,7,2.5
8,8,4.33
8,9,3
8,10,4.67
8,11,3
8,12,3
8,13,3
8,14,2.67
8,15,3.17
8,16,3
8,17,2.97
8,18,3
8,19,2.33
8,20,3
8,21,2.83
8,22,3.17
8,23,3
8,24,3
8,25,3
8,26,4.33333
9,1,3.83
9,2,4
9,3,4.5
9,4,4.5
9,5,3.83
9,6,4.83
9,7,3.33
9,8,3.83
9,9,3.17
9,10,4
9,11,4.33
9,12,3.5
9,13,3.83
9,14,3
9,15,3.5
9,16,3.33
9,17,3.58
9,18,3.67
9,19,3.5
9,20,3.83
9,21,3.67
9,22,3.83
9,23,3.5
9,24,3.5
9,25,3.17
9,26,3.83333
10,1,4.17
10,2,3
10,3,3
10,4,3
10,5,3
10,6,3
10,7,3
10,8,3
10,9,3
10,10,3
10,11,3
10,12,3
10,13,3
10,14,3
10,15,3
10,16,3
10,17,3
10,18,3
10,19,3
10,20,3
10,21,3
10,22,3
10,23,3
10,24,3
10,25,3
10,26,3
11,1,5
11,2,5
11,3,4.33
11,4,5
11,5,3.67
11,6,5
11,7,1
11,8,5
11,9,1
11,10,5
11,11,5
11,12,5
11,13,1
11,14,1
11,15,4.33
11,16,3.5
11,17,3.31
11,18,1
11,19,4.17
11,20,4.67
11,21,4.33
11,22,1
11,23,1
11,24,1.83
11,25,1
11,26,5
12,1,3.33
12,2,3
12,3,3.17
12,4,4.5
12,5,3.17
12,6,5
12,7,2.83
12,8,4
12,9,2.83
12,10,3.33
12,11,4
12,12,3.83
12,13,2.83
12,14,2.83
12,15,3.17
12,16,2.5
12,17,3.19
12,18,2.67
12,19,2.83
12,20,3.83
12,21,3.17
12,22,3.17
12,23,2.67
12,24,2
12,25,2.5
12,26,2
13,1,4.83
13,2,4.33
13,3,3.67
13,4,4.17
13,5,3.33
13,6,4
13,7,2.67
13,8,3.67
13,9,3.33
13,10,3
13,11,2.83
13,12,2.67
13,13,2.67
13,14,3.33
13,15,2.67
13,16,3
13,17,2.86
13,18,2.67
13,19,2.67
13,20,2.83
13,21,2.5
13,22,3.83
13,23,3.17
13,24,3.33
13,25,2
13,26,3
14,1,4
14,2,0
14,3,0
14,4,0
14,5,0.5
14,6,4.33
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0
14,15,0
14,16,3.83
14,17,0.64
14,18,4.17
14,19,4
14,20,3.67
14,21,3.5
14,22,0
14,23,0
14,24,0
14,25,0
14,26,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0.67
15,6,5
15,7,0
15,8,0
15,9,0
15,10,0
15,11,0
15,12,0
15,13,0
15,14,0
15,15,0
15,16,0
15,17,0
15,18,0
15,19,0
15,20,0
15,21,0
15,22,0
15,23,0
15,24,0
15,25,0
15,26,0
16,1,4.5
16,2,5
16,3,5
16,4,4.83
16,5,4
16,6,5
16,7,4.33
16,8,5
16,9,0
16,10,0
16,11,0
16,12,4.83
16,13,0
16,14,4
16,15,3.67
16,16,0
16,17,2.08
16,18,0
16,19,0
16,20,5
16,21,4.67
16,22,5
16,23,0
16,24,0
16,25,0
16,26,4.5
17,1,5
17,2,5
17,3,4.83
17,4,5
17,5,4.17
17,6,5
17,7,4
17,8,5
17,9,5
17,10,5
17,11,5
17,12,5
17,13,4
17,14,4
17,15,3.17
17,16,3.67
17,17,4.14
17,18,5
17,19,5
17,20,5
17,21,5
17,22,5
17,23,3.83
17,24,3.83
17,25,3
17,26,5
18,1,3.83
18,2,3.5
18,3,3.83
18,4,4
18,5,3.67
18,6,4.33
18,7,3.67
18,8,3.5
18,9,3.83
18,10,3.67
18,11,3.83
18,12,4
18,13,3.67
18,14,3.5
18,15,3.17
18,16,3.5
18,17,3.61
18,18,4
18,19,3.17
18,20,3.5
18,21,3.83
18,22,3.67
18,23,3.83
18,24,3.5
18,25,3.83
18,26,3.83333
19,1,4.5
19,2,4.5
19,3,4.33
19,4,4.67
19,5,4.5
19,6,4.83
19,7,5
19,8,4.5
19,9,5
19,10,4.33
19,11,4.33
19,12,5
19,13,5
19,14,4.33
19,15,5
19,16,5
19,17,4.78
19,18,4.83
19,19,3
19,20,4
19,21,3
19,22,5
19,23,4
19,24,5
19,25,4.67
19,26,4.66667
20,1,5
20,2,5
20,3,5
20,4,5
20,5,5
20,6,5
20,7,5
20,8,5
20,9,5
20,10,5
20,11,5
20,12,5
20,13,5
20,14,5
20,15,5
20,16,5
20,17,5
20,18,5
20,19,5
20,20,5
20,21,5
20,22,5
20,23,5
20,24,5
20,25,5
20,26,5
21,1,4.67
21,2,0
21,3,0
21,4,0
21,5,3.33
21,6,4.83
21,7,0
21,8,3.33
21,9,0
21,10,3.33
21,11,0
21,12,0
21,13,3.83
21,14,0
21,15,0
21,16,4
21,17,1.31
21,18,0
21,19,0
21,20,0
21,21,4
21,22,0
21,23,0
21,24,0
21,25,0
21,26,4.16667
